task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
lateral,mono,random,0.2,-0.11307255597444527,-0.509689178329042,0.20377649450712423,-0.009323165834803904
lateral,mono,random,0.3,-0.15905748784152618,-0.7192183403409754,0.20817790422814345,-0.013114759135267079
lateral,mono,random,0.5,-0.20752550314114504,-1.0341494029060412,0.23188559817044183,-0.017111089990512668
lateral,mono,uncertainty,0.1,0.07993991734837333,-0.5628680524558267,0.5133060884908096,0.006591282029813145
lateral,mono,uncertainty,0.2,0.10154936446972673,-0.606638435361166,0.5429785377164266,0.008373044698699273
lateral,mono,uncertainty,0.3,0.1348084230691486,-0.6583975153798282,0.5248304454294908,0.011115352203465944
lateral,mono,uncertainty,0.5,-0.012134054572548523,-1.1156711647886126,0.5059586332315343,-0.0010004885982589594
lateral,mono,criticality,0.1,0.022615679692826893,-0.5737549697595675,0.39139721259311483,0.0018647295130631415
lateral,mono,criticality,0.2,0.05753979625227314,-0.8585535878173391,0.4034274219317835,0.004744325959006451
lateral,mono,criticality,0.3,-0.11635430728216441,-1.1715128332441207,0.3490733083077223,-0.009593755912181876
lateral,mono,criticality,0.5,-0.4175687360994184,-1.823675570361719,0.18242694163650314,-0.03442977423243346
lateral,mono,perception_oracle_dE,0.1,-0.08064374637238658,-0.34796883991724425,0.029406742843539675,-0.006649314809329572
lateral,mono,perception_oracle_dE,0.2,-0.07673073289906808,-0.5635545443273909,0.1154837866265131,-0.006326675304003316
lateral,mono,perception_oracle_dE,0.3,-0.228569355166725,-1.0019152250070509,0.10057644580113359,-0.018846217675093323
lateral,mono,perception_oracle_dE,0.5,-0.4820886205236944,-1.829829073177201,0.1275130336903669,-0.039749629054374985
lateral,mono,best_dE_metric (E5_loc_heavy),0.1,0.03269058437317906,-0.5238851690497353,0.35315417253276354,0.0026954351276597876
lateral,mono,best_dE_metric (E5_loc_heavy),0.2,0.02318629488308758,-0.7808165330392094,0.43381531125257583,0.0019117784189697248
lateral,mono,best_dE_metric (E5_loc_heavy),0.3,0.015943597219404977,-0.8753043293499397,0.43957314639522826,0.0013145966286764153
lateral,mono,best_dE_metric (E5_loc_heavy),0.5,-0.09831820419127066,-1.1037665048825096,0.384322523782697,-0.0081066260009413
lateral,mono,multimetric_dE_oracle,0.1,0.039744041257049466,-0.3060041907307998,0.24191291206867452,0.0032770134573459507
lateral,mono,multimetric_dE_oracle,0.2,0.11148218034956033,-0.30198581477706493,0.38751755773196145,0.00919203467249266
lateral,mono,multimetric_dE_oracle,0.3,-0.013571284541904639,-0.6269809470290035,0.31007235607608935,-0.0011189924494506274
lateral,mono,multimetric_dE_oracle,0.5,0.014941583928375203,-0.6740508870826518,0.3483126668787367,0.0012319776766200072
lateral,mono,PKL_gain,0.1,0.023746170140830296,-0.5006665325292243,0.38310703299391796,0.0019579417857544875
lateral,mono,PKL_gain,0.2,-0.028389377376504436,-0.6666805820423545,0.35515018149960687,-0.002340787921056629
lateral,mono,PKL_gain,0.3,-0.17095371972790768,-1.07119418885518,0.2895617370337589,-0.014095638551410135
lateral,mono,PKL_gain,0.5,-0.2620813264742409,-1.2430218608367403,0.16676760390558365,-0.021609378578803445
lateral,mono,TIP_gain,0.1,0.018994025395783883,-0.5468826377377055,0.3991347343235277,0.0015661134314094004
lateral,mono,TIP_gain,0.2,0.00948973590569105,-0.5584015005706443,0.37445986691421956,0.0007824567227192261
lateral,mono,TIP_gain,0.3,-0.03700538380709641,-0.7421967263724759,0.3195617661818428,-0.003051203070814987
lateral,mono,TIP_gain,0.5,-0.1016673231703611,-0.8397261899896311,0.28028698401448887,-0.00838277074157674
lateral,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.08245295027124855
lateral,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.08245295027124855
lateral,mono,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.08245295027124855
lateral,mono,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.08245295027124855
lateral,mono,uncertainty [scene-z],0.1,0.07762315453924225,-0.27241945050422084,0.2640600903394746,0.006400258101121583
lateral,mono,uncertainty [scene-z],0.2,0.02121535542886886,-0.5595839470292623,0.40964596628399963,0.0017492686461633871
lateral,mono,uncertainty [scene-z],0.3,0.10139994572544496,-0.6943519104738023,0.5163080942967992,0.008360724682407415
lateral,mono,uncertainty [scene-z],0.5,0.10257683044298707,-0.7990783739041737,0.573117415523175,0.008457762299497908
lateral,mono,criticality [scene-z],0.1,-0.17562976350613546,-0.7324689367980417,0.14160328342528328,-0.014481192156522531
lateral,mono,criticality [scene-z],0.2,0.014593785302177068,-0.7521339369733885,0.3917493105224982,0.0012033006537896837
lateral,mono,criticality [scene-z],0.3,-0.030936693805733818,-1.2431608680101827,0.39945397930854704,-0.0025508216759210136
lateral,mono,criticality [scene-z],0.5,-0.3349529655543103,-1.6647578029844563,0.2186651321382716,-0.027617860212056776
lateral,mono,perception_oracle_dE [scene-z],0.1,-0.14629015935876893,-0.5188484508757016,0.05900958235615469,-0.0120620552347816
lateral,mono,perception_oracle_dE [scene-z],0.2,-0.351931417435726,-1.1928251485581094,0.020109754933958238,-0.02901778366071793
lateral,mono,perception_oracle_dE [scene-z],0.3,-0.3376749832005854,-1.429297070052594,0.06320874893113788,-0.027842298597682558
lateral,mono,perception_oracle_dE [scene-z],0.5,-0.524492849358113,-1.9983218148643929,0.07196655978240142,-0.04324598282574995
lateral,mono,best_dE_metric (E5_loc_heavy) [scene-z],0.1,0.03269058437318176,-0.5299241021778361,0.3287675959921733,0.0026954351276600105
lateral,mono,best_dE_metric (E5_loc_heavy) [scene-z],0.2,0.09803257461757232,-0.6607899050928557,0.4167745444262026,0.008083074999905154
lateral,mono,best_dE_metric (E5_loc_heavy) [scene-z],0.3,0.01505232979326081,-0.8571650975706209,0.4413522136618151,0.0012411089999101665
lateral,mono,best_dE_metric (E5_loc_heavy) [scene-z],0.5,-0.0959697495569541,-1.1063683456004345,0.3896979751175374,-0.007912988987763714
lateral,mono,multimetric_dE_oracle [scene-z],0.1,0.08251334396246855,-0.2625974606407916,0.3093041300259655,0.006803468646451847
lateral,mono,multimetric_dE_oracle [scene-z],0.2,0.07300905447237573,-0.37368569803338914,0.3633122585357661,0.006019811937761672
lateral,mono,multimetric_dE_oracle [scene-z],0.3,0.033950162908560864,-0.4769720876052417,0.327137716292959,0.002799291094000356
lateral,mono,multimetric_dE_oracle [scene-z],0.5,0.061430749025258254,-0.6398242873707948,0.39479908987568296,0.00506514649450517
lateral,mono,PKL_gain [scene-z],0.1,-0.13190427941394853,-0.6388419918285814,0.19592052153746953,-0.010875896991083172
lateral,mono,PKL_gain [scene-z],0.2,-0.028389377376505785,-0.7500527398508962,0.3652485409819738,-0.0023407879210567404
lateral,mono,PKL_gain [scene-z],0.3,-0.2232273119234196,-1.1485502226857474,0.2050021116556667,-0.018405750449206205
lateral,mono,PKL_gain [scene-z],0.5,-0.33082759267517187,-1.2945383064538698,0.16131222076240187,-0.027277711047202818
lateral,mono,TIP_gain [scene-z],0.1,-0.09105136761975939,-0.4963859556057802,0.22210056935997124,-0.007507453886481191
lateral,mono,TIP_gain [scene-z],0.2,-0.07604886950514983,-0.6948933448020977,0.3222972154202029,-0.006270453655492789
lateral,mono,TIP_gain [scene-z],0.3,-0.08452683125756326,-0.7860482430594364,0.30265163150519453,-0.006969486614266082
lateral,mono,TIP_gain [scene-z],0.5,-0.07149418350383878,-0.8710113334940857,0.29723389237119435,-0.005894906357125538
plannerC_path_dev,mono,random,0.1,-0.008938000680769144,-0.0937259866524268,0.07189069067690362,-0.0007550024854105217
plannerC_path_dev,mono,random,0.2,-0.01320125340656989,-0.1201992640994298,0.08883626678577272,-0.0013160494491270722
plannerC_path_dev,mono,random,0.3,-0.02518518288625778,-0.1429325728491032,0.10332865151324047,-0.0026131730619515484
plannerC_path_dev,mono,random,0.5,-0.038018522162282305,-0.21581577243890815,0.132691782271453,-0.003944739191228726
plannerC_path_dev,mono,uncertainty,0.1,-0.10272249802452608,-0.2177670898557274,-0.018684717802332714,-0.008677079369994036
plannerC_path_dev,mono,uncertainty,0.2,-0.12041951982048912,-0.25380018096371604,-0.006780223423572242,-0.012004772413885428
plannerC_path_dev,mono,uncertainty,0.3,-0.05730226126804701,-0.2242737618618904,0.05400104732845776,-0.005945588174238576
plannerC_path_dev,mono,uncertainty,0.5,-0.020184006660910983,-0.20914707593252074,0.17002684804138743,-0.002094259260563995
plannerC_path_dev,mono,criticality,0.1,0.002155945774621555,-0.09101831201036131,0.1200271715296111,0.00018211504746825705
plannerC_path_dev,mono,criticality,0.2,0.06277272795243713,-0.04829906452346516,0.18202613463269987,0.006257891693897398
plannerC_path_dev,mono,criticality,0.3,0.09620525201954831,-0.07056476484337373,0.22564155325580748,0.009982098368359265
plannerC_path_dev,mono,criticality,0.5,-0.010609325366652407,-0.2024002311451371,0.15306437458270494,-0.0011008061120232257
plannerC_path_dev,mono,perception_oracle_dE,0.1,-0.08619624683161102,-0.3030555308992021,0.054870258583585484,-0.00728108924079036
plannerC_path_dev,mono,perception_oracle_dE,0.2,-0.08089000623694147,-0.30425500339802275,0.09737066239837275,-0.008064025806445961
plannerC_path_dev,mono,perception_oracle_dE,0.3,-0.08557219156186786,-0.3177103290697593,0.10747679724331657,-0.008878829542415017
plannerC_path_dev,mono,perception_oracle_dE,0.5,-0.08559898224613767,-0.3601648853212113,0.13897871016098443,-0.008881609299654078
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy),0.1,-0.01409216250906472,-0.061132979989601266,0.0684504492928573,-0.0011903800524478438
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy),0.2,0.04806676258029886,-0.08355785604913402,0.17517421931798452,0.00479183562855041
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy),0.3,0.058601983682754974,-0.08201411336850548,0.22008983506528335,0.006080445229574184
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy),0.5,0.051693141665273015,-0.12513300400309124,0.21782088417822554,0.005363595170120618
plannerC_path_dev,mono,multimetric_dE_oracle,0.1,-0.004916327792375608,-0.12282625898668352,0.09113466438961035,-0.00041528747142778144
plannerC_path_dev,mono,multimetric_dE_oracle,0.2,-0.010590511274239165,-0.1229184213549264,0.11245104774192971,-0.0010557813034253348
plannerC_path_dev,mono,multimetric_dE_oracle,0.3,-0.01402405566865425,-0.15422413247610448,0.09428409860122158,-0.0014551128994434533
plannerC_path_dev,mono,multimetric_dE_oracle,0.5,0.06244760333296048,-0.07978156042731639,0.20164951834962183,0.006479460385501915
plannerC_path_dev,mono,PKL_gain,0.1,0.7729388697016599,0.6889414502407756,0.824339013487095,0.06529097373540751
plannerC_path_dev,mono,PKL_gain,0.2,0.821591728870633,0.763035789117876,0.8558920947951866,0.08190550615818383
plannerC_path_dev,mono,PKL_gain,0.3,0.8400135408233635,0.794325677758668,0.880624220346945,0.08715842034849393
plannerC_path_dev,mono,PKL_gain,0.5,0.8552917743612325,0.8086696033754859,0.8930860957182393,0.08874366467630655
plannerC_path_dev,mono,TIP_gain,0.1,0.7032595641904448,0.6162649370132125,0.7919369542663856,0.059405088208923144
plannerC_path_dev,mono,TIP_gain,0.2,0.7563213484507435,0.6658554236989198,0.8031280643082211,0.0753986203685996
plannerC_path_dev,mono,TIP_gain,0.3,0.7685310819041341,0.6939296766465614,0.8300938612477604,0.07974151824008345
plannerC_path_dev,mono,TIP_gain,0.5,0.7834787076929971,0.7105795898316652,0.8372697569058979,0.08129245925282085
plannerC_path_dev,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.08447107047496345
plannerC_path_dev,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.0996912496560449
plannerC_path_dev,mono,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.10375835163688323
plannerC_path_dev,mono,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.10375835163688323
plannerC_path_dev,mono,uncertainty [scene-z],0.1,-0.07733937042994757,-0.17222266157499636,0.0037987491048689405,-0.006532939410077405
plannerC_path_dev,mono,uncertainty [scene-z],0.2,-0.05634843868676497,-0.17050775803581011,0.035146358357885515,-0.005617446268850626
plannerC_path_dev,mono,uncertainty [scene-z],0.3,-0.05167710617517019,-0.18656356029857735,0.04640631833326508,-0.005361931354099859
plannerC_path_dev,mono,uncertainty [scene-z],0.5,0.058567005338557784,-0.1530192918213597,0.22530960865299715,0.006076815934237296
plannerC_path_dev,mono,criticality [scene-z],0.1,-0.005727591237425923,-0.0804732540017584,0.05555850650397016,-0.0004838157630683883
plannerC_path_dev,mono,criticality [scene-z],0.2,0.041609338749065986,-0.0640250071733783,0.12273825143409119,0.00414808697725608
plannerC_path_dev,mono,criticality [scene-z],0.3,0.038222611662637525,-0.1224501232407237,0.1822903061477592,0.003965915181371979
plannerC_path_dev,mono,criticality [scene-z],0.5,0.0055700962534700185,-0.1996125787206043,0.18949343849179992,0.000577944005718828
plannerC_path_dev,mono,perception_oracle_dE [scene-z],0.1,-0.016954957441337053,-0.14916862283935167,0.09036293112667716,-0.0014322034049271883
plannerC_path_dev,mono,perception_oracle_dE [scene-z],0.2,-0.0180893356576699,-0.21048448291514968,0.14515485220693608,-0.001803348477160765
plannerC_path_dev,mono,perception_oracle_dE [scene-z],0.3,-0.04453885321423144,-0.27568771086757704,0.172840960568334,-0.004621277993305753
plannerC_path_dev,mono,perception_oracle_dE [scene-z],0.5,-0.09611827476315835,-0.3592582444395475,0.12117404959045551,-0.009973073751606342
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy) [scene-z],0.1,-0.054355713803265655,-0.09392844283783941,-0.0038929602882065355,-0.004591485331392597
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy) [scene-z],0.2,-0.022970926188498667,-0.12484780134238457,0.08080850260666057,-0.0022900003374882005
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy) [scene-z],0.3,-0.0007348909580519643,-0.13656373984178302,0.10074568256363207,-7.625107444032172e-05
plannerC_path_dev,mono,best_dE_metric (E5_loc_heavy) [scene-z],0.5,-0.02316878246551222,-0.190176910162022,0.14918725062527383,-0.0024039546780550715
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],0.1,-0.03271338435154604,-0.13581216979772,0.060899289362562885,-0.0027633345950340126
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],0.2,0.03610540396405367,-0.09449525214336434,0.12220545830710278,0.003599392840512828
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],0.3,0.01613357994493291,-0.11526627942396257,0.12119667795252513,0.001673993661088116
plannerC_path_dev,mono,multimetric_dE_oracle [scene-z],0.5,0.036183121156108236,-0.12291034255344126,0.20970929797010118,0.003754301008235427
plannerC_path_dev,mono,PKL_gain [scene-z],0.1,0.6851361080414357,0.6093304613849473,0.7753551911671153,0.057874180467310285
plannerC_path_dev,mono,PKL_gain [scene-z],0.2,0.7621106892736463,0.6992573358011036,0.812740189495085,0.07597576698991954
plannerC_path_dev,mono,PKL_gain [scene-z],0.3,0.763816481057514,0.7089747317631572,0.8277478631908733,0.07925233902761229
plannerC_path_dev,mono,PKL_gain [scene-z],0.5,0.7883974391872789,0.7357835923013781,0.8334096566095008,0.08180281872481195
plannerC_path_dev,mono,TIP_gain [scene-z],0.1,0.6422784238534077,0.5564189075146942,0.7331224359001426,0.054253946005869656
plannerC_path_dev,mono,TIP_gain [scene-z],0.2,0.6814242222861199,0.6074759106750559,0.7578938510404695,0.06793203226560181
plannerC_path_dev,mono,TIP_gain [scene-z],0.3,0.708414622110978,0.6254102908324118,0.7678137685290357,0.07350393346570062
plannerC_path_dev,mono,TIP_gain [scene-z],0.5,0.7359036010698212,0.6652655785752299,0.8025601842647793,0.07635614461065116
plannerC_ade_truth,mono,random,0.1,0.017813876680569992,-0.056114365893656454,0.09810700641844809,0.0007323729766526571
plannerC_ade_truth,mono,random,0.2,0.03624088159300535,-0.07055631655295669,0.13049257311169984,0.0016687972282285713
plannerC_ade_truth,mono,random,0.3,0.06812066874116941,-0.079854185634448,0.17393702538554706,0.0031547446120040934
plannerC_ade_truth,mono,random,0.5,0.10056267832117624,-0.0989263842627534,0.24164798880591853,0.004657170480927746
plannerC_ade_truth,mono,uncertainty,0.1,0.04510625620660266,-0.05886688322674501,0.16947442392329676,0.0018544308864402654
plannerC_ade_truth,mono,uncertainty,0.2,0.053410790341739324,-0.08561319395034712,0.17990852222518602,0.002459426342900962
plannerC_ade_truth,mono,uncertainty,0.3,0.02100923697867639,-0.1481226370748093,0.15800358583161467,0.000972961340303758
plannerC_ade_truth,mono,uncertainty,0.5,0.003787921703408612,-0.20688542889437647,0.16950648411825384,0.00017542290475635962
plannerC_ade_truth,mono,criticality,0.1,0.010394456772053758,-0.13987795621552687,0.16168591656282916,0.00042734208748282403
plannerC_ade_truth,mono,criticality,0.2,0.05594064815072403,-0.12137266598271235,0.19728836588287418,0.0025759196375966663
plannerC_ade_truth,mono,criticality,0.3,0.10733218660101654,-0.1276570042986117,0.2597694552132167,0.004970674005869458
plannerC_ade_truth,mono,criticality,0.5,0.09822397548958559,-0.15575836614408267,0.3163279043184738,0.00454886252838734
plannerC_ade_truth,mono,perception_oracle_dE,0.1,0.1671395980164145,0.021166981180520364,0.2965799583468202,0.00687152645719861
plannerC_ade_truth,mono,perception_oracle_dE,0.2,0.22157029839632236,0.04597692999456117,0.3534043231645426,0.010202729171271727
plannerC_ade_truth,mono,perception_oracle_dE,0.3,0.18084164286402235,-0.00867309378227097,0.34240143427087305,0.008374979415116194
plannerC_ade_truth,mono,perception_oracle_dE,0.5,0.11221333454844747,-0.14610730408069084,0.30369209391089597,0.005196725444766242
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.1,0.1671395980164145,0.021166981180520364,0.2965799583468202,0.00687152645719861
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.2,0.22157029839632236,0.04597692999456117,0.3534043231645426,0.010202729171271727
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.3,0.18084164286402235,-0.00867309378227097,0.34240143427087305,0.008374979415116194
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.5,0.11221333454844747,-0.14610730408069084,0.30369209391089597,0.005196725444766242
plannerC_ade_truth,mono,multimetric_dE_oracle,0.1,0.03176926612457204,-0.09337402735618414,0.1183655614862623,0.0013061139029384352
plannerC_ade_truth,mono,multimetric_dE_oracle,0.2,-0.030553085709186155,-0.18169983802064454,0.08824573637519585,-0.0014068891954096539
plannerC_ade_truth,mono,multimetric_dE_oracle,0.3,-0.008062921266917798,-0.18876076364285035,0.11528599677470058,-0.00037340293179549135
plannerC_ade_truth,mono,multimetric_dE_oracle,0.5,0.0037048902274045563,-0.16308304480056754,0.12054981506411463,0.00017157762392763174
plannerC_ade_truth,mono,PKL_gain,0.1,0.24727711047422396,0.05717687599923935,0.3717865710333904,0.010166179810462273
plannerC_ade_truth,mono,PKL_gain,0.2,0.25992121695563386,0.06950420318436117,0.4112530154695545,0.011968688049163676
plannerC_ade_truth,mono,PKL_gain,0.3,0.2680847310452289,0.06172732294202536,0.4145216576956994,0.012415304729889883
plannerC_ade_truth,mono,PKL_gain,0.5,0.225795629743262,0.0055209918067205465,0.3854644241598283,0.01045684899326487
plannerC_ade_truth,mono,TIP_gain,0.1,0.17246322523067795,-0.016993322127180518,0.33174755736334016,0.007090394072564545
plannerC_ade_truth,mono,TIP_gain,0.2,0.22088105529235966,0.04185610453312497,0.3832251157725672,0.010170991340101234
plannerC_ade_truth,mono,TIP_gain,0.3,0.2341506685496358,0.033579989654295546,0.3977166827024097,0.01084378021611652
plannerC_ade_truth,mono,TIP_gain,0.5,0.252116937515048,0.03931836407336785,0.41059294410520075,0.011675818293015137
plannerC_ade_truth,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.04111249840701285
plannerC_ade_truth,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.04604736846552476
